doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteResourceType,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireResourceType,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexResourceType,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.5281/zenodo.3568021,2017,Text,Using deconvolution for correction of non-ideal step response of lightning impulse digitizers and measurement systems,Zenodo,2019-12-09T13:54:49Z,2020-07-30T10:37:49Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,15,,repository
10.5281/zenodo.3568022,2017,Text,Using deconvolution for correction of non-ideal step response of lightning impulse digitizers and measurement systems,Zenodo,2019-12-09T13:54:49Z,2020-07-30T10:37:49Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,15,,repository
10.13140/rg.2.2.22154.00967,2019,Text,Fire Behaviors and smoke transportation law of tunnel fires under confined portal boundaries,RISE Research Institutes of Sweden,2019-12-19T07:16:00Z,2025-10-17T09:57:06Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,13,,repository
10.5281/zenodo.3605623,2018,Text,Quality classes and potential applications for recovered CDW-derived materials,Zenodo,2020-01-12T20:43:41Z,2020-07-30T21:05:35Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,9,,repository
10.5281/zenodo.3605622,2018,Text,Quality classes and potential applications for recovered CDW-derived materials,Zenodo,2020-01-12T20:43:42Z,2020-07-30T21:05:35Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,9,,repository
10.23699/m7da-j065,2020,Text,Proceedings from the 9th International Conference on Pedestrian and Evacuation Dynamics,RISE,2020-01-23T14:12:34Z,2020-07-30T21:40:12Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,snd.rise,Research Institutes of Sweden,0,0,0,0,,,,,,,,,,11,,repository
10.5281/zenodo.3628613,2019,Text,Lattice Pilot aided DMT Transmission for Optical Interconnects achieving 5.82-Bits/Hz per Lane,Zenodo,2020-01-27T15:42:55Z,2020-07-30T21:46:08Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,3,0,,,,,,,,,,12,,repository
10.5281/zenodo.3628612,2019,Text,Lattice Pilot aided DMT Transmission for Optical Interconnects achieving 5.82-Bits/Hz per Lane,Zenodo,2020-01-27T15:42:56Z,2020-07-30T21:46:08Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,12,,repository
10.5281/zenodo.3628618,2019,Text,Kernel Affine Projection for Compensating Nonlinear Impairments in Optical Direct Detection Systems,Zenodo,2020-01-27T15:48:31Z,2020-07-30T21:46:11Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,3,0,,,,,,,,,,12,,repository
10.5281/zenodo.3628617,2019,Text,Kernel Affine Projection for Compensating Nonlinear Impairments in Optical Direct Detection Systems,Zenodo,2020-01-27T15:48:32Z,2020-07-30T21:46:11Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,12,,repository
10.5281/zenodo.3628634,2019,Text,107.1-Gbps Net-Rate Transmission over a Joint 51km-Fibre-and-10.7m-Wireless Link for Terahertz Radio Access Networks,Zenodo,2020-01-27T16:01:09Z,2020-07-30T21:46:21Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,13,,repository
10.5281/zenodo.3628633,2019,Text,107.1-Gbps Net-Rate Transmission over a Joint 51km-Fibre-and-10.7m-Wireless Link for Terahertz Radio Access Networks,Zenodo,2020-01-27T16:01:10Z,2020-07-30T21:46:21Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,13,,repository
10.13140/rg.2.2.18026.06085,2019,Text,Recommendations for sensors and data communication,RISE Research Institutes of Sweden,2020-01-27T21:48:34Z,2025-10-18T00:09:37Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,6,,repository
10.5281/zenodo.3632451,2020,Text,AFarCloud 1st Year Newsletter,Zenodo,2020-01-31T10:25:22Z,2020-07-23T07:57:21Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,4,,repository
10.5281/zenodo.3632450,2020,Text,AFarCloud 1st Year Newsletter,Zenodo,2020-01-31T10:25:23Z,2020-07-23T07:57:22Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,4,,repository
10.5281/zenodo.3677348,2020,Text,Machine Learning for Security at the IoT Edge - A Feasibility Study,Zenodo,2020-02-20T18:18:16Z,2021-02-18T13:08:13Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,12,,repository
10.5281/zenodo.3677347,2020,Text,Machine Learning for Security at the IoT Edge - A Feasibility Study,Zenodo,2020-02-20T18:18:18Z,2021-02-18T13:08:16Z,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,12,,repository
10.5291/ill-data.uga-103,2020,Dataset,Monitoring of the fluid distribution in soft porous materials in real-time using neutron radiography and neutron and X-ray tomography,Institut Laue-Langevin (ILL),2020-03-03T09:43:45Z,2026-06-30T06:52:50Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,inist.ill,Institut Laue-Langevin,0,0,0,0,,OPEN,,,,,,,,19,,repository
10.15159/ar.20.043,2020,Text,Lean-inspired development work in agriculture: Implications for the work environment,Agronomy Research,2020-04-22T08:36:52Z,2020-08-01T18:05:05Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,estdoi.emu,Eesti Maaülikool. EMU Dspace,0,0,0,0,,,,,,,,,,10,,repository
10.23697/b2fb-mx59,2020,Text,Grid Flexible Control of Heat Pumps,Heat Pump Center,2020-04-22T12:31:05Z,2020-07-23T19:06:28Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,snd.hpc,Technology Collaboration Programme on Heat Pumping Technologies,0,0,0,0,,,,,,,,,,6,,repository
10.13140/rg.2.2.33475.84002,2019,Text,Guide för att ställa cirkularitetskrav i upphandlingsdokument för nybyggnation,RISE Research Institutes of Sweden,2020-06-09T05:23:11Z,2025-10-17T19:54:00Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,9,,repository
10.13140/rg.2.2.19624.80646,2020,Text,Modelling Industrial Symbiosis of Biogas Production and Industrial Wastewater Treatment Plants -Technical Report,RISE Research Institutes of Sweden,2020-06-15T07:21:39Z,2025-10-17T20:39:33Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,13,,repository
10.5281/zenodo.3830891,2020,Dataset,RIBuild: Survey of historic building stock - with case studies on renovation,Zenodo,2020-06-28T14:50:19Z,2020-06-28T14:50:20Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,Dataset,cern.zenodo,Zenodo,0,0,0,0,,OPEN,35,34,,,https://openalex.org/W4393670425,0,0,12,,repository
10.5281/zenodo.3830890,2020,Dataset,RIBuild: Survey of historic building stock - with case studies on renovation,Zenodo,2020-06-28T14:50:21Z,2020-06-28T14:50:22Z,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,Dataset,cern.zenodo,Zenodo,0,0,0,0,,OPEN,35,34,,,https://openalex.org/W4393459756,0,0,12,,repository
10.5281/zenodo.3834309,2020,Dataset,RIBuild: Material properties for historic building materials and insulation materials,Zenodo,2020-06-28T14:57:30Z,2020-06-28T14:57:31Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,Dataset,cern.zenodo,Zenodo,0,0,1,0,,OPEN,45,30,,,https://openalex.org/W3217793356,0,0,10,,repository
10.5281/zenodo.3834308,2020,Dataset,RIBuild: Material properties for historic building materials and insulation materials,Zenodo,2020-06-28T14:57:32Z,2020-06-28T14:57:33Z,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,Dataset,cern.zenodo,Zenodo,0,0,0,0,,OPEN,45,30,,,https://openalex.org/W4394040040,0,0,10,,repository
10.5281/zenodo.3888920,2020,Dataset,RIBuild: Analysis of models for failure,Zenodo,2020-06-28T15:11:54Z,2020-06-28T15:11:56Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,Dataset,cern.zenodo,Zenodo,0,0,0,0,,OPEN,3,5,,,https://openalex.org/W4393632051,0,0,6,,repository
10.5281/zenodo.3888919,2020,Dataset,RIBuild: Analysis of models for failure,Zenodo,2020-06-28T15:11:57Z,2020-06-28T15:11:59Z,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,Dataset,cern.zenodo,Zenodo,0,0,0,0,,OPEN,3,5,,,https://openalex.org/W4394028527,0,0,6,,repository
10.6084/m9.figshare.12585979,2020,JournalArticle,Additional file 1 of Biofilm formation on three different endotracheal tubes: a prospective clinical trial,figshare,2020-06-30T04:28:17Z,2026-03-09T16:23:15Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,JournalArticle,figshare.ars,figshare Academic Research System,1,0,0,0,,,,,,,,,,15,"[""10.1186/s13054-020-03092-1""]",repository
10.6084/m9.figshare.12585979.v1,2020,JournalArticle,Additional file 1 of Biofilm formation on three different endotracheal tubes: a prospective clinical trial,figshare,2020-06-30T04:28:26Z,2026-03-09T16:23:16Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,JournalArticle,figshare.ars,figshare Academic Research System,1,0,0,0,,,,,,,,,,15,"[""10.1186/s13054-020-03092-1""]",repository
10.5281/zenodo.3923745,2020,Text,New formulation for producing salmon pâté with reduced sodium content,Zenodo,2020-06-30T10:43:29Z,2020-06-30T11:39:11Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,2,0,,,,,,,,,,10,,repository
10.5281/zenodo.3923744,2020,Text,New formulation for producing salmon pâté with reduced sodium content,Zenodo,2020-06-30T10:43:30Z,2020-06-30T11:39:13Z,0,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,Text,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,10,,repository
10.13140/rg.2.2.35146.59841,2020,Text,A roadmap to develop Integrated Biomass Logistic Centres in Skåne Sweden -Case study grain milling industry,RISE Research Institutes of Sweden,2020-07-14T06:42:51Z,2025-10-17T20:43:10Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,16,,repository
10.13140/rg.2.2.20047.10408,2020,Text,"Farmers current practices, and their opinion on supplying straw for production of second-generation biofuels in Sweden",RISE Research Institutes of Sweden,2020-07-14T06:46:44Z,2025-10-18T02:01:55Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,16,,repository
10.13140/rg.2.2.18462.77128,2020,Text,Don’t miss the opportunity of joining the world’s movements on digital collaboration,RISE Research Institutes of Sweden,2020-08-02T11:36:43Z,2025-10-17T22:16:13Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,12,,repository
10.13140/rg.2.2.15107.32809,2020,Text,Creating value for the transport buyer with Digital Data Streams,RISE Research Institutes of Sweden,2020-08-02T11:41:40Z,2025-10-18T01:18:16Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,10,,repository
10.13140/rg.2.2.35239.98728,2020,Text,Smart Ports: On the move to become Global Logistics Information Exchange Hubs Giant First Steps: Data-Powered Operational Gains,RISE Research Institutes of Sweden,2020-08-02T11:45:22Z,2025-10-17T23:47:31Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,18,,repository
10.13140/rg.2.2.17623.91043,2020,Text,Standardisation in container shipping is key to boosting economies of scale - importance of data collaboration between shipping lines,RISE Research Institutes of Sweden,2020-08-02T11:50:13Z,2025-10-18T00:32:41Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,19,,repository
10.13140/rg.2.2.31045.68324,2020,Text,Digital Containerisation,RISE Research Institutes of Sweden,2020-08-02T11:55:30Z,2025-10-18T02:04:08Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,2,,repository
10.13140/rg.2.2.14268.46726,2020,Text,Do maritime authorities have a role in digitalization of shipping? – the “Digital (port)Approach” in a sea transport context,RISE Research Institutes of Sweden,2020-08-02T12:00:54Z,2025-10-18T01:18:17Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,19,,repository
10.13140/rg.2.2.27690.24006,2020,Text,Digital twins for the maritime sector,RISE Research Institutes of Sweden,2020-08-02T12:04:32Z,2025-10-17T23:47:31Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,6,,repository
10.13140/rg.2.2.26012.51847,2020,Text,‘Get Smart’ - Developing smart maritime ecosystems,RISE Research Institutes of Sweden,2020-08-02T12:10:03Z,2025-10-18T03:35:25Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,7,,repository
10.13140/rg.2.2.36245.96489,2020,Text,Cooperative Route Guidance - A Simulation Study for Stockholm,RISE Research Institutes of Sweden,2020-08-05T09:34:42Z,2025-10-17T20:45:42Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,9,,repository
10.13140/rg.2.2.10968.72968,2020,Text,Scenario planning - Support for schools during the coronavirus pandemic,RISE Research Institutes of Sweden,2020-08-11T13:41:58Z,2025-10-18T03:36:28Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,10,,repository
10.13140/rg.2.2.24626.43207,2020,Text,Smart Containers and Situational Awareness,RISE Research Institutes of Sweden,2020-08-12T20:39:22Z,2025-10-18T02:50:50Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,5,,repository
10.5281/zenodo.3734077,2020,Dataset,Three‐dimensional reconstruction of porous polymer films from FIB‐SEM nanotomography data using random forests,Zenodo,2020-08-17T11:50:54Z,2025-01-02T00:15:43Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,Dataset,cern.zenodo,Zenodo,0,0,5,0,,OPEN,15,19,,,https://openalex.org/W4393881128,1,0,13,,repository
10.5281/zenodo.3734076,2020,Dataset,Three‐dimensional reconstruction of porous polymer films from FIB‐SEM nanotomography data using random forests,Zenodo,2020-08-17T11:50:56Z,2020-12-18T13:14:30Z,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,Dataset,cern.zenodo,Zenodo,0,0,0,0,,OPEN,15,19,,,https://openalex.org/W4393668117,0,0,13,,repository
10.5281/zenodo.3994163,2026,Software,PyPSA/technology-data: v0.15.0,Zenodo,2020-08-21T09:05:59Z,2026-06-28T12:38:10Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Software,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,,,2,,repository
10.23699/2wav-2q70,2020,Text,Navigating Complexity,RISE Research Institutes of Sweden,2020-08-21T10:50:31Z,2020-08-21T13:51:37Z,1,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,snd.rise,Research Institutes of Sweden,0,0,0,0,,,,,,,,,,2,,repository
10.23697/zg6t-ch46,2020,Text,Heat Pumping Technologies Magazine - Heat pumps for the retrofit  and renovation market,Heat Pump Center,2020-08-27T08:23:43Z,2020-08-27T12:15:45Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,snd.hpc,Technology Collaboration Programme on Heat Pumping Technologies,0,0,0,0,,,,,,,,,,13,,repository
10.5281/zenodo.3752765,2020,Dataset,Predicting permeability via statistical learning on higher-order microstructural information,Zenodo,2020-08-28T05:16:27Z,2020-08-28T05:16:28Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,Dataset,cern.zenodo,Zenodo,0,0,0,0,,OPEN,5,11,,,https://openalex.org/W4393680222,1,0,9,,repository
10.5281/zenodo.3752764,2020,Dataset,Predicting permeability via statistical learning on higher-order microstructural information,Zenodo,2020-08-28T05:16:28Z,2020-08-28T05:16:29Z,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,Dataset,cern.zenodo,Zenodo,0,0,0,0,,OPEN,5,11,,,https://openalex.org/W4393547848,0,0,9,,repository
10.13140/rg.2.2.30892.49281,2020,Text,Self-Sovereign Digital Identity on the European Blockchain Services Infrastructure,RISE Research Institutes of Sweden,2020-09-18T06:32:55Z,2025-10-17T23:06:40Z,1,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,Text,rg.rg,ResearchGate,0,0,0,0,,,,,,,,,,9,,repository
10.6084/m9.figshare.c.5143885,2020,Collection,What evidence exists on ecotechnologies for recycling carbon and nutrients from domestic wastewater? A systematic map,figshare,2020-10-07T03:32:46Z,2023-07-25T03:34:55Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Collection,figshare.ars,figshare Academic Research System,0,0,0,0,,OPEN,,,,,,,,16,,repository
10.6084/m9.figshare.c.5143885.v1,2020,Collection,What evidence exists on ecotechnologies for recycling carbon and nutrients from domestic wastewater? A systematic map,figshare,2020-10-07T03:32:47Z,2023-07-25T03:34:55Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Collection,figshare.ars,figshare Academic Research System,0,0,0,0,,OPEN,,,,,,,,16,,repository
10.6084/m9.figshare.13059349,2020,Dataset,Additional file 1 of What evidence exists on ecotechnologies for recycling carbon and nutrients from domestic wastewater? A systematic map,figshare,2020-10-07T03:36:06Z,2023-07-25T03:35:06Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,Dataset,figshare.ars,figshare Academic Research System,0,17,0,0,,OPEN,,,,,https://openalex.org/W4394498445,0,17,20,,repository
10.6084/m9.figshare.13059352.v1,2020,Dataset,Additional file 2 of What evidence exists on ecotechnologies for recycling carbon and nutrients from domestic wastewater? A systematic map,figshare,2020-10-07T03:36:06Z,2023-07-25T03:35:07Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,figshare.ars,figshare Academic Research System,0,17,0,0,,OPEN,,,,,,,,20,,repository
10.6084/m9.figshare.13059352,2020,Dataset,Additional file 2 of What evidence exists on ecotechnologies for recycling carbon and nutrients from domestic wastewater? A systematic map,figshare,2020-10-07T03:36:20Z,2023-07-25T03:35:07Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,Dataset,figshare.ars,figshare Academic Research System,0,17,0,0,,OPEN,,,,,https://openalex.org/W4394283711,0,17,20,,repository
10.6084/m9.figshare.13059358,2020,Dataset,Additional file 4 of What evidence exists on ecotechnologies for recycling carbon and nutrients from domestic wastewater? A systematic map,figshare,2020-10-07T03:36:22Z,2023-07-25T03:35:06Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,,Dataset,figshare.ars,figshare Academic Research System,0,17,0,0,,OPEN,,,,,https://openalex.org/W4394274957,0,17,20,,repository
10.6084/m9.figshare.13059358.v1,2020,Dataset,Additional file 4 of What evidence exists on ecotechnologies for recycling carbon and nutrients from domestic wastewater? A systematic map,figshare,2020-10-07T03:36:23Z,2023-07-25T03:35:14Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,Dataset,figshare.ars,figshare Academic Research System,0,17,1,0,,OPEN,,,,,,,,20,,repository
