doi,clientId,publicationYear,resourceType,title,publisher,isPublisher,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi
10.13140/rg.2.2.14327.24481,rg.rg,2011,Text,Algoritmer för effektiva satellitbaserade vägavgiftssystem - Algorithms for effective satellite based road user charge systems,Blekinge Institute of Technology,1,0,0,1,0
10.5281/zenodo.3723538,cern.zenodo,2020,Dataset,Raw Data for Further Investigation of the Survivability of Code Technical Debt Items,Zenodo,0,1,0,1,0
10.5281/zenodo.3723537,cern.zenodo,2021,Dataset,Raw Data for Further Investigation of the Survivability of Code Technical Debt Items,Zenodo,0,1,0,0,1
10.5281/zenodo.4327725,cern.zenodo,2020,Text,Guidelines for conducting interactive rapid reviews in software engineering -- from a focus on technology transfer to knowledge exchange,Zenodo,0,1,0,1,0
10.5281/zenodo.4327724,cern.zenodo,2020,Text,Guidelines for conducting interactive rapid reviews in software engineering -- from a focus on technology transfer to knowledge exchange,Zenodo,0,1,0,0,0
10.21227/qfpc-1s09,ieee.dataport,2020,Dataset,BTH Trucks in Aerial Images Dataset,IEEE DataPort,0,1,0,1,0
10.21227/a4xv-zh71,ieee.dataport,2020,Dataset,BTH Trucks in Aerial Images Dataset,IEEE DataPort,0,1,0,1,0
10.21227/4ey9-g533,ieee.dataport,2020,Dataset,BTH Trucks in Aerial Images Dataset,IEEE DataPort,0,1,0,1,0
10.5281/zenodo.4428832,cern.zenodo,2021,Dataset,Decisions of Number Guessing Game,Zenodo,0,1,0,1,0
10.5281/zenodo.4428831,cern.zenodo,2021,Dataset,Decisions of Number Guessing Game,Zenodo,0,1,0,0,0
10.5281/zenodo.4568517,cern.zenodo,2021,Software,Understanding Peer Review of Software Engineering Papers,Zenodo,0,1,0,1,0
10.5281/zenodo.4650072,cern.zenodo,2021,Dataset,Raw Data for Further Investigation of the Survivability of Code Technical Debt Items,Zenodo,0,1,0,1,0
10.5281/zenodo.4673436,cern.zenodo,2021,Text,A Failed attempt at creating Guidelines for Visual GUI Testing: An industrial case study,Zenodo,0,1,0,1,0
10.5281/zenodo.4673435,cern.zenodo,2021,Text,A Failed attempt at creating Guidelines for Visual GUI Testing: An industrial case study,Zenodo,0,1,0,0,0
10.5281/zenodo.4719592,cern.zenodo,2021,Dataset,Data set of Ionospheric Scintillation in Low-Latitude GNSS Radio Occultation Measurements,Zenodo,0,1,0,1,0
10.5281/zenodo.4719591,cern.zenodo,2021,Dataset,Data set of Ionospheric Scintillation in Low-Latitude GNSS Radio Occultation Measurements,Zenodo,0,1,0,0,0
10.5281/zenodo.5040641,cern.zenodo,2021,Dataset,Practitioners Interpretation of conditional Requirements,Zenodo,0,1,0,1,0
10.5281/zenodo.5040640,cern.zenodo,2021,Dataset,Practitioners Interpretation of conditional Requirements,Zenodo,0,1,0,0,1
10.5281/zenodo.5070235,cern.zenodo,2021,Dataset,Practitioners Interpretation of conditional Requirements,Zenodo,0,1,0,1,0
10.5281/zenodo.5092091,cern.zenodo,2021,Text,Data used in modern code review mapping study and survey,Zenodo,0,1,0,1,0
10.5281/zenodo.5092090,cern.zenodo,2022,JournalArticle,Data used in modern code review mapping study and survey,Zenodo,0,1,0,0,1
10.5281/zenodo.5093742,cern.zenodo,2021,Text,Evidence briefings on modern code reviews,Zenodo,0,1,0,1,0
10.5281/zenodo.5093741,cern.zenodo,2021,Text,Evidence briefings on modern code reviews,Zenodo,0,1,0,0,0
10.5281/zenodo.5093901,cern.zenodo,2021,Text,Data used in modern code review mapping study and survey,Zenodo,0,1,0,1,0
10.5281/zenodo.5132911,cern.zenodo,2021,Dataset,Assessing the Linguistic Quality of REST APIs for IoT Applications,Zenodo,0,1,0,1,0
10.5281/zenodo.5132910,cern.zenodo,2022,Dataset,Assessing the Linguistic Quality of REST APIs for IoT Applications,Zenodo,0,1,0,0,1
10.5281/zenodo.5132921,cern.zenodo,2021,Dataset,Assessing the Linguistic Quality of REST APIs for IoT Applications,Zenodo,0,1,0,1,0
