doi,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,dataCiteClientId,dataCiteClientName,dataCiteCitationCount,dataCiteReferenceCount,dataCiteViewCount,dataCiteDownloadCount,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.4232/1.10059,2010,Dataset,European Values Study 2008: Integrated Dataset (EVS 2008),GESIS Data Archive,2012-01-10T16:08:47Z,2025-12-02T11:09:09Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,gesis.gesis,GESIS Data Catalogue,5,0,0,0,,,,,,,,8,,repository
10.4232/1.10188,2010,Dataset,European Values Study 2008: Integrated Dataset (EVS 2008),GESIS Data Archive,2012-01-10T16:08:51Z,2025-12-02T11:09:03Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,gesis.gesis,GESIS Data Catalogue,7,0,0,0,,,,,,,,8,,repository
10.4232/1.4804,2011,Dataset,European Values Study Longitudinal Data File 1981-2008 (EVS 1981-2008),GESIS Data Archive,2012-01-10T16:10:04Z,2025-12-02T11:11:02Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,gesis.gesis,GESIS Data Catalogue,1,0,0,0,,,,,,,,9,,repository
10.5281/zenodo.4309213,2020,JournalArticle,Comparing the Holy Liturgy between Copts and Hellēnes,Zenodo,2021-02-05T15:49:22Z,2026-01-01T00:03:44Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,8,,repository
10.5281/zenodo.4309212,2020,JournalArticle,Comparing the Holy Liturgy between Copts and Hellēnes,Zenodo,2021-02-05T15:49:25Z,2022-02-09T08:49:22Z,0,,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,8,,repository
10.5878/1k0w-y785,2024,Dataset,Digitally mediated sermons during the Covid-19 pandemic in Church of Sweden and Uniting Church in Sweden,University College Stockholm,2024-04-10T08:14:15Z,2025-09-22T09:43:08Z,1,,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,snd.snd,Swedish National Data Service,0,0,0,0,,,,,,,,16,,repository
10.60878/wnc4-r785,2024,Dataset,Digitally mediated sermons during the Covid-19 pandemic in Church of Sweden and Uniting Church in Sweden,University College Stockholm,2024-04-10T08:14:17Z,2025-09-22T09:53:58Z,1,,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,uehr.doris,Enskilda Högskolan Stockholm DORIS,0,0,0,0,,,,,,,,16,,repository
10.5281/zenodo.10996192,2023,JournalArticle,"The Cult of the 144,000 in the Coptic Tradition",Zenodo,2024-06-05T07:30:58Z,2024-06-05T07:30:59Z,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,9,,repository
10.5281/zenodo.10996193,2023,JournalArticle,"The Cult of the 144,000 in the Coptic Tradition",Zenodo,2024-06-05T07:30:58Z,2024-06-05T07:30:58Z,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,cern.zenodo,Zenodo,0,0,0,0,,,,,,,,9,,repository
